site,Col_Company,Col_Recruit,Col_detail,Col_url
jobkorea,한국평가데이터㈜,[데이터분석지원] 한국평가데이터 인턴 채용,"서울 영등포구 | 은행·금융, 데이터사이언티스트",https://www.jobkorea.co.kr/Recruit/GI_Read/48029425?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=630
jobkorea,㈜지바이크,[지쿠] 전략마케팅팀 데이터분석 전문가 경력 채용,"서울 강남구 외 2 | 모바일·APP, CRM마케터, 데이터사이언티스트, 데이터분석가",https://www.jobkorea.co.kr/Recruit/GI_Read/47823845?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=630
jobkorea,㈜핀인사이트,IT 데이터분석 프리랜서 강사,"서울 강남구 | IT컨설팅, 학원강사",https://www.jobkorea.co.kr/Recruit/GI_Read/48075386?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=630
jobkorea,㈜테크핀레이팅스,[신용평가사] 데이터분석(5년 이상),"서울 중구 | 은행·금융, 데이터엔지니어, 데이터사이언티스트, 데이터분석가",https://www.jobkorea.co.kr/Recruit/GI_Read/47947456?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=4&sc=630
jobkorea,㈜테크핀레이팅스,[신용평가사] 데이터분석(경력 5년 ),"서울 중구 | 은행·금융, 데이터엔지니어",https://www.jobkorea.co.kr/Recruit/GI_Read/47978992?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=5&sc=630
jobkorea,콘센트릭스서비스코리아,[Catalyst] 데이터분석 컨설턴트,"서울 강남구 | IT컨설팅, 컨설턴트, 데이터분석가",https://www.jobkorea.co.kr/Recruit/GI_Read/48131883?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=6&sc=630
jobkorea,넛지헬스케어㈜,[캐시워크-병역특례] 데이터분석 담당 산업기능요원,"서울 강남구 | 모바일·APP, DBA, 데이터엔지니어, 데이터사이언티스트",https://www.jobkorea.co.kr/Recruit/GI_Read/48152541?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=7&sc=630
jobkorea,㈜웅진씽크빅,[프리랜서]데이터분석 경력직 모집(광화문 출퇴근),"서울 중구 | 학습지·방문교육, 웹기획, 데이터엔지니어, 데이터분석가",https://www.jobkorea.co.kr/Recruit/GI_Read/48115530?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=8&sc=630
jobkorea,㈜바이오컴,[AI 바이오 헬스케어] 데이터분석 전문가 채용,"서울 강서구 | 제약·보건·바이오, 경영·비즈니스기획, 데이터사이언티스트, 데이터분석가",https://www.jobkorea.co.kr/Recruit/GI_Read/48122419?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=9&sc=630
jobkorea,㈜트리노드(TreenodInc.),[서울/경력 5년 이상] 데이터분석팀 데이터분석가,"서울 강남구 | 게임·애니메이션, 데이터엔지니어, 데이터사이언티스트",https://www.jobkorea.co.kr/Recruit/GI_Read/47862848?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=10&sc=630
jobkorea,㈜컴투스,[컴투스홀딩스] 데이터분석 담당자 (3-8년차),"서울 금천구 | 게임·애니메이션, 데이터엔지니어, 데이터사이언티스트",https://www.jobkorea.co.kr/Recruit/GI_Read/47855257?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=11&sc=630
jobkorea,㈜이젠컴퓨터아카데미안산,빅데이터분석 기반 마케팅 광고성과분석 과정을 담당하실 강사님 모집,"경기 안산시 | 학교(초·중·고·대학·특수), 학원강사",https://www.jobkorea.co.kr/Recruit/GI_Read/47998614?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=12&sc=630
jobkorea,㈜메인라인,"AI 엔지니어 채용(데이터분석,딥러닝/경력 3년 이상)","서울 마포구 외 1 | 솔루션·SI·CRM·ERP, 데이터사이언티스트, AI/ML엔지니어",https://www.jobkorea.co.kr/Recruit/GI_Read/48130033?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=13&sc=630
jobkorea,넛지헬스케어㈜,[캐시워크] 데이터분석 담당 채용전환형 인턴,"서울 강남구 | 모바일·APP, DBA, 데이터엔지니어, 데이터사이언티스트",https://www.jobkorea.co.kr/Recruit/GI_Read/48152551?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=14&sc=630
jobkorea,㈜마루에이치알,[현대카드 카드금융마케팅팀]금융 데이터분석 및 마케팅운영(자체계약직),"서울 영등포구 | 서치펌·헤드헌팅, 마케팅기획, 데이터사이언티스트, 금융사무 | 연봉 3,460만원~",https://www.jobkorea.co.kr/Recruit/GI_Read/48066192?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=15&sc=630
jobkorea,"아이하우㈜(ihow Co.,",데이터 라벨링 관리 및 검수 데이터분석 기획 담당자 모집,"서울 노원구 | 솔루션·SI·CRM·ERP, 데이터라벨러 | 연봉 2,700~4,000만원",https://www.jobkorea.co.kr/Recruit/GI_Read/48141961?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=16&sc=630
jobkorea,㈜텔몬,"온라인마케팅, 마케팅기획 관리, 사무보조데이터분석","서울 금천구 | 광고·홍보·전시, 마케팅기획, 퍼포먼스마케터, 온라인마케터 | 연봉 3,200~3,600만원",https://www.jobkorea.co.kr/Recruit/GI_Read/48057206?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=17&sc=630
jobkorea,콘센트릭스서비스코리아,"[Catalyst] 데이터분석 인턴 (3개월 , 정규직전환형)","서울 강남구 | IT컨설팅, 데이터분석가",https://www.jobkorea.co.kr/Recruit/GI_Read/47913428?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=18&sc=630
jobkorea,글로빛㈜,"[글로빛] 빅데이터분석,AI(머신러닝,딥러닝) 가능한 박사님 모십니다","서울 서초구 | 학교(초·중·고·대학·특수), 교직원·조교, 교재개발·교수설계",https://www.jobkorea.co.kr/Recruit/GI_Read/48018873?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=19&sc=630
jobkorea,콘센트릭스서비스코리아,25년 하반기 콘센트릭스 Catalyst 장애인 특별채용 - 데이터분석,"서울 강남구 | IT컨설팅, 컨설턴트, 데이터분석가",https://www.jobkorea.co.kr/Recruit/GI_Read/48114001?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=20&sc=630
