Site,Col_Company,Col_Recruit,Col_detail,Col_url
saramin,(주)베가스,[Begas] 2026데이터분석전문가 신입·경력 모집,서울중구 | 신입·경력 | 석사↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52458309&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)이엠넷,데이터분석가 부문 경력직 채용,서울구로구 | 경력1년↑ | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52395744&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,아이비커리어(주),[통근버스]삼성물산 본사 IT데이터분석채용,서울강동구 | 경력 3~20년 | 학력무관 | 파견직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52335594&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,넛지헬스케어(주),[캐시워크]데이터분석담당 채용전환형 인턴,서울강남구 | 신입 | 대졸↑ | 인턴직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52349408&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)나눔스페이스,(주)나눔스페이스데이터분석팀 채용공고,"전북전주시 완산구 | 경력무관 | 대졸↑ | 기간제·계약직 | 3,240 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52421995&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)마크클라우드,"AI 개발(Python),데이터분석및 사업 기획 인턴 모집",서울강남구 | 경력무관 | 대졸↑ | 인턴직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52297523&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,넛지헬스케어(주),[넛지헬스케어] 전략기획·데이터분석(영양사) 채용전환형 인턴,서울강남구 | 경력무관 | 대졸↑ | 인턴직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52361665&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)현대에버다임,(주)현대에버다임데이터분석담당 채용,충북진천군 | 경력 3~10년 | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52388032&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,씨제이푸드빌(주),[CJ푸드빌] 정보전략팀데이터분석가,서울중구 | 경력5년↑ | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52406888&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)키스템프그룹,"두산에너빌리티데이터분석,CAD 채용[창원/자체계약직전환/신입O",경남창원시 성산구 | 경력무관 | 초대졸↑ | 파견직 | 266 만원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52429372&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
